CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
14965;35014965;ATILIO INNOCENTI PROF;BOTUCATU;SAO MANUEL;;;4,70
14990;35014990;IVENS VIEIRA;ITAPETININGA;ANGATUBA;;4,00;2,82
15003;35015003;CASTANHO DE ALMEIDA CEL;ITAPETININGA;GUAREI;;2,60;1,82
15027;35015027;FORTUNATO DE CAMARGO DR;ITAPETININGA;ANGATUBA;4,80;;
15039;35015039;BERNARDES JUNIOR DESEMBARGADOR;ITAPETININGA;ITAPETININGA;;2,98;2,28
15040;35015040;PEIXOTO GOMIDE;ITAPETININGA;ITAPETININGA;;2,88;2,35
15052;35015052;SEBASTIAO VILLACA PROF;ITAPETININGA;ITAPETININGA;;2,93;2,33
15064;35015064;FERNANDO PRESTES CEL;ITAPETININGA;ITAPETININGA;;3,55;3,05
15076;35015076;OSCAR KURTZ CAMARGO;ITAPEVA;RIBEIRAO GRANDE;;3,37;2,84
15088;35015088;ADHERBAL DE PAULA FERREIRA;ITAPETININGA;ITAPETININGA;;4,21;2,93
15097;35015097;SEBASTIAO PINTO PROF;ITAPETININGA;ITAPETININGA;;4,03;
15106;35015106;ABILIO FONTES PROF;ITAPETININGA;ITAPETININGA;;3,86;
15118;35015118;ARLINDO VIEIRA PADRE;ITAPEVA;CAPAO BONITO;;;3,33
15124;35015124;FLORA PRESTES CESAR PROFA;ITAPETININGA;SARAPUI;;2,73;2,01
15143;35015143;DARCY VIEIRA;ITAPETININGA;ITAPETININGA;;3,15;2,39
15155;35015155;VIRGILIO SILVEIRA PROF;ITAPETININGA;ITAPETININGA;;2,99;2,63
15180;35015180;CORINA CACAPAVA BARTH PROFA;ITAPETININGA;ITAPETININGA;;4,08;2,66
15192;35015192;FONSECA MAJOR;ITAPETININGA;ITAPETININGA;6,53;;
15209;35015209;ERNESTA XAVIER RABELO ORSI PROFA;ITAPETININGA;ITAPETININGA;;4,47;3,82
15210;35015210;RENATO DA ROCHA MIRANDA;ITAPETININGA;CAMPINA DO MONTE ALEGRE;;;2,25
15222;35015222;RAUL VENTURELLI DOUTOR;ITAPEVA;CAPAO BONITO;;;2,35
15246;35015246;MODESTO TAVARES DE LIMA PROF;ITAPETININGA;ITAPETININGA;;3,47;2,47
15258;35015258;NESTOR FOGACA;ITAPETININGA;SAO MIGUEL ARCANJO;;2,41;2,01
15261;35015261;LAZARO SOARES PROFESSOR;ITARARE;RIVERSUL;;3,21;2,84
15283;35015283;APARICIO BIGLIA FILHO PROFESSOR;ITARARE;BOM SUCESSO DE ITARARE;;2,94;2,62
