;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;cad_prova_cie;particip_lp;particip_mat;particip_cie;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;porc_ACERT_lp;porc_ACERT_MAT;porc_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie;classific_lp;classific_mat;classific_cie;validade
667055;29170000;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;920058;0;5º Ano EF;B;262445430;M;20110920;MANHÃ;;;;;;C;0;3;3;3,0;1;1;1;20,0;19,0;11,0;83,3;79,2;45,8;233,5;249,1;201,3;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
667134;29170654;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;A;262086804;M;20070604;TARDE;;;;;;C;0;17;17;17,0;1;1;1;18,0;14,0;10,0;75,0;58,3;41,7;288,3;239,2;214,2;Adequado;Básico;Abaixo do Básico;Suficiente;Suficiente;Insuficiente;1
668384;29181201;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;44878;0;9º Ano EF;B;261406573;M;20061114;MANHÃ;;;;;;C;0;11;11;11,0;1;1;1;7,0;5,0;6,0;29,2;20,8;25,0;160,2;208,4;155,2;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
668455;29181666;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;B;262087349;F;20071109;TARDE;;;;;;C;0;5;5;5,0;1;1;1;11,0;9,0;12,0;45,8;37,5;50,0;224,7;195,6;256,2;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
668496;29181960;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;A;262086804;M;20070827;TARDE;;;;;;C;0;5;5;5,0;1;1;1;21,0;17,0;16,0;87,5;70,8;66,7;313,9;290,1;303,5;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
668535;29182259;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;B;262087349;M;20080403;TARDE;;;;;;C;0;9;9;9,0;0;0;0;;;;;;;;;;;;;;;;1
668592;29182824;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;A;262086804;F;20080528;TARDE;;;;;;C;0;16;16;16,0;1;1;1;10,0;3,0;11,0;41,7;12,5;45,8;192,3;147,0;236,5;Abaixo do Básico;Abaixo do Básico;Básico;Insuficiente;Insuficiente;Suficiente;1
668824;29184193;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;A;262086804;M;20071012;TARDE;;;;;;C;0;8;8;8,0;0;0;0;;;;;;;;;;;;;;;;1
669123;29186827;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;904181;0;9º Ano EF;C;261415707;M;20071211;TARDE;;;;;;C;0;23;23;23,0;1;1;1;21,0;7,0;17,0;87,5;29,2;70,8;320,3;223,8;338,7;Adequado;Abaixo do Básico;Adequado;Suficiente;Insuficiente;Suficiente;1
670642;29199246;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;918817;0;9º Ano EF;A;262305444;F;20070711;MANHÃ;;;;;;C;0;16;16;16,0;1;1;1;15,0;17,0;16,0;62,5;70,8;66,7;255,5;295,5;263,6;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
670934;29200988;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;9º Ano EF;C;260937669;F;20070427;TARDE;;;;;;C;0;15;15;15,0;1;1;1;16,0;9,0;11,0;66,7;37,5;45,8;275,7;218,6;254,9;Adequado;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
671587;29206463;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;B;261386262;M;20071127;MANHÃ;;;;;;C;0;16;16;16,0;1;1;1;13,0;12,0;19,0;54,2;50,0;79,2;232,9;261,2;348,8;Básico;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
671659;29207092;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;918817;0;9º Ano EF;A;262305444;M;20071227;MANHÃ;;;;;;C;0;12;12;12,0;0;0;0;;;;;;;;;;;;;;;;1
671711;29207404;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;9º Ano EF;C;260937669;F;20071004;TARDE;;;;;;C;0;14;14;14,0;1;1;1;20,0;15,0;18,0;83,3;62,5;75,0;285,0;278,0;317,7;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
672479;29214549;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;B;261386262;F;20080326;MANHÃ;;;;;;C;0;23;23;23,0;1;1;1;9,0;6,0;8,0;37,5;25,0;33,3;175,7;180,8;211,9;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
