;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;NEC_ESP_1;NEC_ESP_2;NEC_ESP_3;NEC_ESP_4;NEC_ESP_5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;particip_lp;particip_mat;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;porc_ACERT_lp;porc_ACERT_MAT;profic_lp;profic_mat;nivel_profic_lp;nivel_profic_mat;classific_lp;classific_mat;validade
599382;23746514;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;9º Ano EF;B;232163899;F;20050501;MANHÃ;0;0;0;0;0;C;0;2,0;2,0;1;1;22,0;17,0;91,7;70,8;327,0;312,2;Avançado;Adequado;Avançado;Suficiente;1
599429;26099499;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904193;0;9º Ano EF;A;232091603;M;20050324;MANHÃ;0;0;0;0;0;C;0;10,0;10,0;1;1;11,0;12,0;45,8;50,0;225,2;275,4;Básico;Básico;Suficiente;Suficiente;1
599758;27942241;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;A;232228213;M;20041123;MANHÃ;0;0;0;0;0;C;0;3,0;3,0;1;1;10,0;10,0;41,7;41,7;217,8;254,6;Básico;Básico;Suficiente;Suficiente;1
599905;30573400;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;3º Ano EF;B;231480138;M;20110518;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;91,1;138,5;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
600077;29406131;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;C;232282178;F;20100809;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;204,3;238,1;Adequado;Adequado;Suficiente;Suficiente;1
600132;29426878;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;5º Ano EF;B;232293811;F;20081231;MANHÃ;0;0;0;0;0;C;0;23,0;23,0;1;1;21,0;16,0;87,5;66,7;272,3;236,7;Avançado;Adequado;Avançado;Suficiente;1
600346;25724682;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;A;232230813;F;20040930;TARDE;0;0;0;0;0;C;0;1,0;1,0;0;0;;;;;;;;;;;1
600565;30502273;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;A;232282095;M;20101218;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;191,2;301,1;Adequado;Avançado;Suficiente;Avançado;1
600849;23528936;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;40708;0;EM-3ª série;A;232126953;F;20020305;MANHÃ;0;0;0;0;0;C;0;9,0;9,0;1;1;17,0;9,0;70,8;37,5;330,2;254,5;Adequado;Abaixo do Básico;Suficiente;Insuficiente;1
601039;23550739;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;EM-3ª série;A;232243758;M;20021108;NOITE;0;0;0;0;0;C;0;6,0;6,0;1;1;12,0;13,0;50,0;54,2;273,7;305,1;Básico;Básico;Suficiente;Suficiente;1
601099;22174354;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;E;231339532;M;20020829;MANHÃ;0;0;0;0;0;C;0;8,0;8,0;1;1;7,0;14,0;29,2;58,3;232,7;317,8;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
602000;23525229;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;C;231552639;F;20020827;MANHÃ;0;0;0;0;0;C;0;17,0;17,0;0;1;;8,0;;33,3;;242,8;;Abaixo do Básico;;Insuficiente;1
602050;33101409;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;3º Ano EF;C;232073882;M;20101107;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;249,5;275,1;Avançado;Avançado;Avançado;Avançado;1
602272;27947018;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;A;232228213;F;20041201;MANHÃ;0;0;0;0;0;C;0;11,0;11,0;1;1;8,0;3,0;33,3;12,5;208,9;196,1;Básico;Abaixo do Básico;Suficiente;Insuficiente;1
602286;27842331;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;B;232228288;F;20041002;MANHÃ;0;0;0;0;0;C;0;23,0;23,0;0;0;;;;;;;;;;;1
602360;30502207;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;B;232282111;M;20110213;MANHÃ;0;0;0;0;0;C;0;;;1;0;;;;;146,0;;Básico;;Suficiente;;1
602826;33249383;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;C;232484550;M;20011202;MANHÃ;0;0;0;0;0;C;0;18,0;18,0;1;1;16,0;16,0;66,7;66,7;325,8;351,1;Adequado;Adequado;Suficiente;Suficiente;1
602879;28028871;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;7º Ano EF;B;232232652;M;20060830;TARDE;0;0;0;0;0;C;0;4,0;4,0;1;1;17,0;13,0;70,8;54,2;241,9;242,9;Adequado;Básico;Suficiente;Suficiente;1
603280;24276446;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;B;231552522;F;20021111;MANHÃ;0;0;0;0;0;C;0;10,0;10,0;0;0;;;;;;;;;;;1
603281;29129625;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;3º Ano EF;B;232073833;M;20101205;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;245,1;276,2;Avançado;Avançado;Avançado;Avançado;1
603389;27342510;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;C;231494964;M;20081128;TARDE;0;0;0;0;0;C;0;6,0;6,0;1;1;12,0;15,0;50,0;62,5;185,5;211,5;Básico;Básico;Suficiente;Suficiente;1
603974;23651909;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;9º Ano EF;A;232111823;F;20050321;TARDE;0;0;0;0;0;C;0;16,0;16,0;1;1;21,0;17,0;87,5;70,8;320,2;317,9;Adequado;Adequado;Suficiente;Suficiente;1
605405;27555765;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;A;232082040;F;20080731;MANHÃ;0;0;0;0;0;C;0;19,0;19,0;1;1;23,0;23,0;95,8;95,8;304,6;299,0;Avançado;Avançado;Avançado;Avançado;1
605534;31286146;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;C;232282178;M;20101105;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;168,5;195,3;Básico;Básico;Suficiente;Suficiente;1
607499;31320312;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;918830;0;3º Ano EF;A;232084707;F;20101202;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;182,9;229,1;Adequado;Adequado;Suficiente;Suficiente;1
607782;22551015;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;g;231339193;F;20020103;NOITE;0;0;0;0;0;C;0;13,0;13,0;0;0;;;;;;;;;;;1
608420;24917540;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;g;231339193;F;20020414;NOITE;0;0;0;0;0;C;0;26,0;26,0;0;0;;;;;;;;;;;1
608438;26425994;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904193;0;9º Ano EF;B;232091660;M;20050220;MANHÃ;0;0;0;0;0;C;0;14,0;14,0;1;1;4,0;5,0;16,7;20,8;136,0;166,7;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
608489;30463984;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;2º Ano EF;A;232128959;M;20120207;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;137,0;222,8;;;Suficiente;Acima de suficiente;1
608775;26522399;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;B;232228288;M;20050322;MANHÃ;0;0;0;0;0;C;0;7,0;7,0;1;1;9,0;9,0;37,5;37,5;214,4;229,7;Básico;Básico;Suficiente;Suficiente;1
608983;22633266;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10285;0;9º Ano EF;A;232234278;M;20050822;TARDE;0;0;0;0;0;C;0;20,0;20,0;1;1;18,0;19,0;75,0;79,2;282,1;341,2;Adequado;Adequado;Suficiente;Suficiente;1
609527;28590721;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;3º Ano EF;A;231479999;M;20101104;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;193,2;189,7;Adequado;Básico;Suficiente;Suficiente;1
609528;36116277;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;919007;0;5º Ano EF;A;231494832;M;20090120;MANHÃ;0;0;0;0;0;C;0;24,0;24,0;1;1;17,0;18,0;70,8;75,0;206,5;232,3;Adequado;Adequado;Suficiente;Suficiente;1
610051;26099276;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904193;0;9º Ano EF;A;232091603;M;20050417;MANHÃ;0;0;0;0;0;C;0;19,0;19,0;1;1;16,0;13,0;66,7;54,2;276,6;268,8;Adequado;Básico;Suficiente;Suficiente;1
610476;26942741;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;9º Ano EF;D;231518721;M;20050525;TARDE;0;0;0;0;0;C;0;26,0;26,0;1;1;4,0;5,0;16,7;20,8;162,0;196,4;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
611270;29406125;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46541;0;3º Ano EF;A;232282095;M;20100824;MANHÃ;0;0;0;0;0;C;0;;;1;1;;;;;192,9;230,7;Adequado;Adequado;Suficiente;Suficiente;1
